# product                 SHA1                                      Version                       
BUILD=b3121
meas_algorithms           22030a4515019773706e1cce63b23210bb080ce4  13.0-24-g22030a45+7                      daf_base,daf_persistence,afw,esutil,log,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pex_policy,pipe_base,python_future,scons,sconsUtils,utils,pybind11
meas_deblender            8b7e8552867348d1fbf5dd3c66f3f49ff89c2326  13.0-13-g8b7e855+37                      afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,pybind11,matplotlib
ip_isr                    0af5a6cf479a54f9fca208aff1e4d9f46f65eb77  13.0-15-g0af5a6c+24                      python_future,meas_algorithms,numpy,pipe_base,scons,sconsUtils,pybind11
meas_astrom               30f6da58882233727f45ae963ed048b43f6c60f6  13.0-16-g30f6da5+24                      afw,log,meas_algorithms,pex_config,pipe_base,utils,wcslib,astrometry_net,numpy,python_future,matplotlib
meas_extensions_astrometryNet b035c22750eb8b10e2dbaabcdea53f25b5ab8e6e  master-gb035c22750+27                    afw,log,meas_algorithms,meas_astrom,pex_config,pipe_base,utils,wcslib,astrometry_net,numpy,python_future,matplotlib
ip_diffim                 f4bc96c2884ee8ae596ef48e64bf004485759a37  13.0-28-gf4bc96c+9                       afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_policy,pipe_base,utils,lmfit,pybind11,afwdata,matplotlib
pipe_tasks                fbf2f2ce8b6e0b63264278c56ce04e18b72285c2  13.0-66-gfbf2f2ce+6                      afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,python_future,meas_algorithms,meas_astrom,meas_extensions_astrometryNet,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,coadd_chisquared,skymap,geom,obs_test,matplotlib
obs_lsstSim               b2aac10d6017b01c043a9cbd42134fa831f80afd  13.0-16-gb2aac10+13                      daf_base,pex_policy,afw,daf_persistence,obs_base,meas_algorithms,ip_isr,pipe_tasks,pybind11,python_mysqlclient,utils
sims_coordUtils           b02c0b5fc56485be9a48cb024f241a935dc0100e  2.4.0.sims.rc1                           base,python,utils,afw,sims_utils,obs_lsstSim
sims_catUtils             7ff948c642b928c56984b3f6d6db3eb503b06358  u.danielsf.debug.kep_lc_failure-g7ff948c642 utils,sims_utils,sims_catalogs,sims_coordUtils,sims_photUtils,sims_data,palpy,python,pymssql,daf_persistence,sncosmo,astropy,sqlalchemy,obs_lsstSim
